Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  1.32      2.07     0.04  6485381     0.00     0.00  Dodge::ShaderProgram::model_containsPerVertexColourData(Dodge::IModel const&) const
  1.32      2.11     0.04  3028289     0.00     0.00  Dodge::EntityTransformations::update()
  1.32      2.15     0.04  2166895     0.00     0.00  Dodge::ShaderProgram::model_getHandle(Dodge::IModel const&) const
  1.32      2.19     0.04  1509728     0.00     0.00  Dodge::Math::overlap(Dodge::Shape const&, Dodge::Vec2f const&, Dodge::Shape const&, Dodge::Vec2f const&)
  1.32      2.23     0.04  1009169     0.00     0.00  Dodge::Polygon::addVertex(Dodge::Vec2f const&)
  1.32      2.27     0.04   431414     0.00     0.00  Dodge::internString(std::string const&)
  0.99      2.30     0.03  5193798     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getRenderMode() const
  0.99      2.33     0.03  4317853     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getPrimitiveType() const
  0.99      2.36     0.03  2170047     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getHandle() const
  0.99      2.39     0.03  1008778     0.00     0.00  Dodge::Polygon::updateInteriorModel() const
  0.99      2.42     0.03  1008403     0.00     0.00  Dodge::Polygon::updateOutlineModel() const
  0.99      2.45     0.03   329142     0.00     0.00  Dodge::Polygon::dbg_print(std::ostream&, int) const
  0.66      2.47     0.02  6481228     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::containsPerVertexColourData() const
  0.66      2.49     0.02  6042947     0.00     0.00  Dodge::Polygon::getMaximum() const
  0.66      2.51     0.02  3033693     0.00     0.00  Dodge::Font::Font(boost::shared_ptr<Dodge::Texture>, float, float, float, float, int, int)
  0.66      2.53     0.02  3030014     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getSizeOf() const
  0.66      2.55     0.02  3028469     0.00     0.00  Dodge::Renderer::draw(Dodge::IModel const*)
  0.66      2.57     0.02  3023400     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getDepth() const
  0.66      2.59     0.02  2156084     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getMatrix() const
  0.66      2.61     0.02  2152098     0.00     0.00  Dodge::ShaderProgram::model_getVertexData(Dodge::IModel const&) const
  0.66      2.63     0.02  1105587     0.00     0.00  Dodge::Entity::getTranslation_abs() const
  0.66      2.65     0.02   105993     0.00     0.00  Dodge::Quad::Quad(Dodge::Quad const&)
  0.66      2.67     0.02    27080     0.00     0.00  Dodge::WorldSpace::entityMovedHandler(Dodge::EEvent*)
  0.66      2.69     0.02     5419     0.00     0.00  Player::checkForCollisions()
  0.66      2.71     0.02                             virtual thunk to Soil::draw() const
  0.66      2.73     0.02                             png_filter_up
  0.66      2.75     0.02                             png_paeth
  0.33      2.76     0.01  5192633     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getTextureHandle() const
  0.33      2.77     0.01  3026334     0.00     0.00  Dodge::Sprite::update()
  0.33      2.78     0.01  2161976     0.00     0.00  Dodge::SceneGraph::end()
  0.33      2.79     0.01  2160059     0.00     0.00  Dodge::Renderer::primitiveToGLType(Dodge::Renderer::primitive_t) const
  0.33      2.80     0.01  2159182     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getColour() const
  0.33      2.81     0.01  1790145     0.00     0.00  boost::detail::shared_count::~shared_count()
  0.33      2.82     0.01  1537432     0.00     0.00  boost::detail::sp_counted_impl_p<Dodge::Vec2f>::dispose()
  0.33      2.83     0.01  1535330     0.00     0.00  boost::detail::sp_counted_impl_p<Dodge::Vec2f>::~sp_counted_impl_p()
  0.33      2.84     0.01  1493041     0.00     0.00  Soil::draw() const
  0.33      2.85     0.01   453865     0.00     0.00  Dodge::Range::overlaps(Dodge::Range const&) const
  0.33      2.86     0.01   297491     0.00     0.00  Dodge::Range::contains(Dodge::Range const&) const
  0.33      2.87     0.01   252051     0.00     0.00  Dodge::Quad::Quad(Dodge::Vec2f const&)
  0.33      2.88     0.01   251442     0.00     0.00  Dodge::Polygon::Polygon()
  0.33      2.89     0.01    86193     0.00     0.00  Dodge::EntityAnimations::onEvent(Dodge::EEvent const*)
  0.33      2.90     0.01    73839     0.00     0.00  Zombie::entityMovedHandler(Dodge::EEvent*)
  0.33      2.91     0.01    27130     0.00     0.00  Dodge::Entity::dbg_print(std::ostream&, int) const
  0.33      2.92     0.01    27071     0.00     0.00  MemFunHandler<Functor<void, TypeList<Dodge::EEvent*, NullType> >, Dodge::WorldSpace*, void (Dodge::WorldSpace::*)(Dodge::EEvent*)>::operator()(Dodge::EEvent*) const
  0.33      2.93     0.01    19656     0.00     0.00  Dodge::EntityAnimations::updateModel()
  0.33      2.94     0.01     7922     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::getEntries_r(Dodge::Range const&, std::vector<boost::shared_ptr<Dodge::Entity>, std::allocator<boost::shared_ptr<Dodge::Entity> > >&) const
  0.33      2.95     0.01     6854     0.00     0.00  GameLogic::reqGameStateChangeHandler(Dodge::EEvent*)
  0.33      2.96     0.01     6214     0.00     0.00  Dodge::SceneGraph::begin()
  0.33      2.97     0.01     3637     0.00     0.00  Dodge::EntityAnimations::~EntityAnimations()
  0.33      2.98     0.01     2061     0.00     0.00  Dodge::EventManager::unregisterCallback(long, Functor<void, TypeList<Dodge::EEvent*, NullType> > const&)
  0.33      2.99     0.01     1250     0.00     0.00  Dodge::EAnimFinished::~EAnimFinished()
  0.33      3.00     0.01      328     0.00     0.00  Dodge::WinIO::unregisterCallback(Dodge::WinIO::winEvent_t, boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>)
  0.33      3.01     0.01       73     0.00     0.00  Application::populateMap(Dodge::EEvent*)
  0.33      3.02     0.01                             virtual thunk to CTextEntity::draw() const
  0.33      3.03     0.01                             virtual thunk to NumericTile::update()
  0.33      3.04     0.01                             virtual thunk to Throwable::update()
  0.00      3.04     0.00  3012493     0.00     0.00  Dodge::Polygon::typeId() const
  0.00      3.04     0.00  3002117     0.00     0.00  Dodge::Sprite::draw() const
  0.00      3.04     0.00  2153849     0.00     0.00  Dodge::Model<Dodge::vvvtt_t>::getVertexData() const
  0.00      3.04     0.00  1540923     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      3.04     0.00  1493649     0.00     0.00  Soil::update()
  0.00      3.04     0.00   975081     0.00     0.00  NumericTile::update()
  0.00      3.04     0.00   296974     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::getNumEntries() const
  0.00      3.04     0.00   228428     0.00     0.00  Dodge::Range::Range(Dodge::Vec2f const&, Dodge::Vec2f const&)
  0.00      3.04     0.00   223307     0.00     0.00  Mine::update()
  0.00      3.04     0.00   222307     0.00     0.00  MemFunHandler<Functor<void, TypeList<Dodge::EEvent*, NullType> >, Soil*, void (Soil::*)(Dodge::EEvent*)>::operator==(FunctorImpl<void, TypeList<Dodge::EEvent*, NullType> > const&) const
  0.00      3.04     0.00   195058     0.00     0.00  CSprite::update()
  0.00      3.04     0.00   194897     0.00     0.00  CSprite::draw() const
  0.00      3.04     0.00   131966     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned int)
  0.00      3.04     0.00   128090     0.00     0.00  Dodge::Transformation::update()
  0.00      3.04     0.00   122041     0.00     0.00  Dodge::StackAllocator::alloc(unsigned int)
  0.00      3.04     0.00   106021     0.00     0.00  Dodge::Polygon::Polygon(Dodge::Polygon const&)
  0.00      3.04     0.00   103878     0.00     0.00  Dodge::gGetMemStack()
  0.00      3.04     0.00    99649     0.00     0.00  MemFunHandler<Functor<void, TypeList<Dodge::EEvent*, NullType> >, Soil*, void (Soil::*)(Dodge::EEvent*)>::~MemFunHandler()
  0.00      3.04     0.00    95479     0.00     0.00  MemFunHandler<Functor<void, TypeList<Dodge::EEvent*, NullType> >, Soil*, void (Soil::*)(Dodge::EEvent*)>::clone() const
  0.00      3.04     0.00    89879     0.00     0.00  Dodge::Animation::getCurrentFrame()
  0.00      3.04     0.00    87544     0.00     0.00  Dodge::EEvent::operator new(unsigned int)
  0.00      3.04     0.00    87279     0.00     0.00  Dodge::EEvent::operator delete(void*, unsigned int)
  0.00      3.04     0.00    86592     0.00     0.00  Dodge::Animation::update(bool*)
  0.00      3.04     0.00    86249     0.00     0.00  Dodge::Sprite::onEvent(Dodge::EEvent const*)
  0.00      3.04     0.00    86169     0.00     0.00  Dodge::gGetTargetFrameRate()
  0.00      3.04     0.00    81790     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::getIndex(Dodge::Range const&) const
  0.00      3.04     0.00    73809     0.00     0.00  MemFunHandler<Functor<void, TypeList<Dodge::EEvent*, NullType> >, Zombie*, void (Zombie::*)(Dodge::EEvent*)>::operator()(Dodge::EEvent*) const
  0.00      3.04     0.00    69401     0.00     0.00  Collectable::update()
  0.00      3.04     0.00    69238     0.00     0.00  Collectable::draw() const
  0.00      3.04     0.00    58219     0.00     0.00  void std::vector<boost::shared_ptr<Dodge::Entity>, std::allocator<boost::shared_ptr<Dodge::Entity> > >::_M_insert_aux<boost::shared_ptr<Dodge::Entity> const&>(__gnu_cxx::__normal_iterator<boost::shared_ptr<Dodge::Entity>*, std::vector<boost::shared_ptr<Dodge::Entity>, std::allocator<boost::shared_ptr<Dodge::Entity> > > >, boost::shared_ptr<Dodge::Entity> const&)
  0.00      3.04     0.00    54720     0.00     0.00  boost::enable_shared_from_this<Dodge::Entity>::shared_from_this()
  0.00      3.04     0.00    34682     0.00     0.00  Dodge::StackAllocator::freeToMarker(unsigned int)
  0.00      3.04     0.00    34636     0.00     0.00  Dodge::StackAllocator::getMarker() const
  0.00      3.04     0.00    30312     0.00     0.00  Dodge::EntityAnimations::playAnimation(long, bool)
  0.00      3.04     0.00    29910     0.00     0.00  Dodge::EEvent::~EEvent()
  0.00      3.04     0.00    28102     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::insert(boost::shared_ptr<Dodge::Entity>, Dodge::Range const&)
  0.00      3.04     0.00    27303     0.00     0.00  Dodge::Range::setPosition(float, float)
  0.00      3.04     0.00    27133     0.00     0.00  Dodge::EEntityTranslation::~EEntityTranslation()
  0.00      3.04     0.00    27111     0.00     0.00  Dodge::EEntityBoundingBox::~EEntityBoundingBox()
  0.00      3.04     0.00    26740     0.00     0.00  Dodge::Entity::translate(float, float)
  0.00      3.04     0.00    26579     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::remove(boost::shared_ptr<Dodge::Entity>, Dodge::Range const&)
  0.00      3.04     0.00    24090     0.00     0.00  Dodge::AnimFrame::AnimFrame(Dodge::AnimFrame const&)
  0.00      3.04     0.00    23326     0.00     0.00  Dodge::Quad::operator=(Dodge::Quad const&)
  0.00      3.04     0.00    23324     0.00     0.00  Dodge::Polygon::operator=(Dodge::Polygon const&)
  0.00      3.04     0.00    22299     0.00     0.00  Dodge::EntityTransformations::numActiveTransformations() const
  0.00      3.04     0.00    21637     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::insert_(boost::shared_ptr<Dodge::Entity>, Dodge::Range const&)
  0.00      3.04     0.00    20698     0.00     0.00  Zombie::update()
  0.00      3.04     0.00    20673     0.00     0.00  Zombie::draw() const
  0.00      3.04     0.00    19791     0.00     0.00  Dodge::Entity::getFillColour() const
  0.00      3.04     0.00    19517     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::insert_r(boost::shared_ptr<Dodge::Entity>, Dodge::Range const&)
  0.00      3.04     0.00    16565     0.00     0.00  std::vector<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> >, std::allocator<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> > > >::erase(__gnu_cxx::__normal_iterator<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> >*, std::vector<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> >, std::allocator<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> > > > >)
  0.00      3.04     0.00    16430     0.00     0.00  Dodge::Timer::getTime() const
  0.00      3.04     0.00    16425     0.00     0.00  Dodge::Timer::reset()
  0.00      3.04     0.00    15905     0.00     0.00  Dodge::Range::Range(float, float, float, float)
  0.00      3.04     0.00    15682     0.00     0.00  Dodge::TextEntity::draw() const
  0.00      3.04     0.00    15632     0.00     0.00  Dodge::TextEntity::update()
  0.00      3.04     0.00    15375     0.00     0.00  Soil::onEvent(Dodge::EEvent const*)
  0.00      3.04     0.00    15334     0.00     0.00  Dodge::Entity::setFillColour(Dodge::Colour const&)
  0.00      3.04     0.00    15324     0.00     0.00  Dodge::Polygon::setFillColour(Dodge::Colour const&) const
  0.00      3.04     0.00    15016     0.00     0.00  Throwable::update()
  0.00      3.04     0.00    14999     0.00     0.00  CTextEntity::update()
  0.00      3.04     0.00    14998     0.00     0.00  CTextEntity::draw() const
  0.00      3.04     0.00    14998     0.00     0.00  Throwable::draw() const
  0.00      3.04     0.00    14992     0.00     0.00  Clouds::update()
  0.00      3.04     0.00    14963     0.00     0.00  Clouds::draw() const
  0.00      3.04     0.00    14068     0.00     0.00  Dodge::WinIO::swapBuffers()
  0.00      3.04     0.00    12187     0.00     0.00  Player::onEvent(Dodge::EEvent const*)
  0.00      3.04     0.00    11358     0.00     0.00  Dodge::Polygon::setRenderTransform(float, float, int) const
  0.00      3.04     0.00     7951     0.00     0.00  Dodge::WorldSpace::getEntities(Dodge::Range const&, std::vector<boost::shared_ptr<Dodge::Entity>, std::allocator<boost::shared_ptr<Dodge::Entity> > >&) const
  0.00      3.04     0.00     7926     0.00     0.00  Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::getEntries(Dodge::Range const&, std::vector<boost::shared_ptr<Dodge::Entity>, std::allocator<boost::shared_ptr<Dodge::Entity> > >&) const
  0.00      3.04     0.00     7914     0.00     0.00  Dodge::EventManager::doEvents()
  0.00      3.04     0.00     7914     0.00     0.00  Dodge::StackAllocator::clear()
  0.00      3.04     0.00     7912     0.00     0.00  Dodge::WinIO::doEvents()
  0.00      3.04     0.00     7912     0.00     0.00  Dodge::Renderer::tick(Dodge::Colour const&)
  0.00      3.04     0.00     7902     0.00     0.00  Dodge::Renderer::checkForErrors()
  0.00      3.04     0.00     7858     0.00     0.00  Dodge::SceneGraph::clear()
  0.00      3.04     0.00     7540     0.00     0.00  Exit::draw() const
  0.00      3.04     0.00     7539     0.00     0.00  GameLogic::updateTimer()
  0.00      3.04     0.00     7519     0.00     0.00  Player::update()
  0.00      3.04     0.00     7511     0.00     0.00  Player::draw() const
  0.00      3.04     0.00     7505     0.00     0.00  Exit::update()
  0.00      3.04     0.00     7383     0.00     0.00  Dodge::Range::Range()
  0.00      3.04     0.00     6635     0.00     0.00  void rapidxml::xml_document<char>::parse_node_attributes<928>(char*&, rapidxml::xml_node<char>*)
  0.00      3.04     0.00     6211     0.00     0.00  Dodge::Renderer::clear()
  0.00      3.04     0.00     5086     0.00     0.00  Dodge::Animation::play(bool)
  0.00      3.04     0.00     4945     0.00     0.00  Zombie::onEvent(Dodge::EEvent const*)
  0.00      3.04     0.00     4736     0.00     0.00  Dodge::EntityAnimations::pauseAnimation()
  0.00      3.04     0.00     4604     0.00     0.00  Player::move(Player::dir_t)
  0.00      3.04     0.00     4207     0.00     0.00  Dodge::XmlAttribute::getFloat() const
  0.00      3.04     0.00     3951     0.00     0.00  Dodge::TransPart::TransPart(Dodge::XmlNode)
  0.00      3.04     0.00     3734     0.00     0.00  Dodge::Sprite::addToWorld()
  0.00      3.04     0.00     3721     0.00     0.00  Dodge::EntityAnimations::addToWorld()
  0.00      3.04     0.00     3677     0.00     0.00  std::_Rb_tree<boost::shared_ptr<Dodge::Entity>, boost::shared_ptr<Dodge::Entity>, std::_Identity<boost::shared_ptr<Dodge::Entity> >, std::less<boost::shared_ptr<Dodge::Entity> >, std::allocator<boost::shared_ptr<Dodge::Entity> > >::_M_erase(std::_Rb_tree_node<boost::shared_ptr<Dodge::Entity> >*)
  0.00      3.04     0.00     3662     0.00     0.00  Dodge::Polygon::~Polygon()
  0.00      3.04     0.00     3660     0.00     0.00  Dodge::Polygon::Polygon(Dodge::Polygon const&)
  0.00      3.04     0.00     3657     0.00     0.00  Dodge::Polygon::~Polygon()
  0.00      3.04     0.00     3657     0.00     0.00  Dodge::Polygon::clone() const
  0.00      3.04     0.00     3656     0.00     0.00  std::_Rb_tree_iterator<std::pair<long const, boost::shared_ptr<Item> > > std::_Rb_tree<long, std::pair<long const, boost::shared_ptr<Item> >, std::_Select1st<std::pair<long const, boost::shared_ptr<Item> > >, std::less<long>, std::allocator<std::pair<long const, boost::shared_ptr<Item> > > >::_M_insert_unique_<std::pair<long, boost::shared_ptr<Item> > >(std::_Rb_tree_const_iterator<std::pair<long const, boost::shared_ptr<Item> > >, std::pair<long, boost::shared_ptr<Item> >&&)
  0.00      3.04     0.00     3653     0.00     0.00  Dodge::EntityAnimations::EntityAnimations(Dodge::EntityAnimations const&, Dodge::Entity*)
  0.00      3.04     0.00     3652     0.00     0.00  std::_Rb_tree<long, std::pair<long const, boost::shared_ptr<Dodge::Animation> >, std::_Select1st<std::pair<long const, boost::shared_ptr<Dodge::Animation> > >, std::less<long>, std::allocator<std::pair<long const, boost::shared_ptr<Dodge::Animation> > > >::_M_erase(std::_Rb_tree_node<std::pair<long const, boost::shared_ptr<Dodge::Animation> > >*)
  0.00      3.04     0.00     3651     0.00     0.00  Dodge::Entity::generateName()
  0.00      3.04     0.00     3649     0.00     0.00  Dodge::Entity::~Entity()
  0.00      3.04     0.00     3649     0.00     0.00  std::_Rb_tree_iterator<std::pair<long const, boost::shared_ptr<Item> > > std::_Rb_tree<long, std::pair<long const, boost::shared_ptr<Item> >, std::_Select1st<std::pair<long const, boost::shared_ptr<Item> > >, std::less<long>, std::allocator<std::pair<long const, boost::shared_ptr<Item> > > >::_M_insert_<std::pair<long, boost::shared_ptr<Item> > >(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<long, boost::shared_ptr<Item> >&&)
  0.00      3.04     0.00     3648     0.00     0.00  Item::~Item()
  0.00      3.04     0.00     3646     0.00     0.00  std::_Rb_tree<long, std::pair<long const, boost::shared_ptr<Dodge::Transformation> >, std::_Select1st<std::pair<long const, boost::shared_ptr<Dodge::Transformation> > >, std::less<long>, std::allocator<std::pair<long const, boost::shared_ptr<Dodge::Transformation> > > >::_M_erase(std::_Rb_tree_node<std::pair<long const, boost::shared_ptr<Dodge::Transformation> > >*)
  0.00      3.04     0.00     3639     0.00     0.00  Dodge::Sprite::Sprite(Dodge::Sprite const&)
  0.00      3.04     0.00     3636     0.00     0.00  Dodge::AssetManager::cloneAsset(long) const
  0.00      3.04     0.00     3634     0.00     0.00  Dodge::Entity::getLineWidth() const
  0.00      3.04     0.00     3633     0.00     0.00  Dodge::EntityTransformations::EntityTransformations(Dodge::EntityTransformations const&, Dodge::Entity*)
  0.00      3.04     0.00     3632     0.00     0.00  Dodge::Entity::deepCopy(Dodge::Entity const&)
  0.00      3.04     0.00     3629     0.00     0.00  Dodge::Entity::Entity(Dodge::Entity const&)
  0.00      3.04     0.00     3615     0.00     0.00  Item::Item(Item const&)
  0.00      3.04     0.00     3591     0.00     0.00  Dodge::WorldSpace::trackEntity(boost::shared_ptr<Dodge::Entity>)
  0.00      3.04     0.00     3424     0.00     0.00  Dodge::EntityAnimations::stepAnimation()
  0.00      3.04     0.00     3416     0.00     0.00  Dodge::Animation::step(bool*)
  0.00      3.04     0.00     2937     0.00     0.00  std::vector<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> >, std::allocator<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> > > >::~vector()
  0.00      3.04     0.00     2921     0.00     0.00  std::vector<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> >, std::allocator<std::unique_ptr<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry, std::default_delete<Dodge::Quadtree<boost::shared_ptr<Dodge::Entity> >::Entry> > > >::reserve(unsigned int)
  0.00      3.04     0.00     2647     0.00     0.00  boost::detail::sp_counted_impl_p<Dodge::Animation>::~sp_counted_impl_p()
  0.00      3.04     0.00     2636     0.00     0.00  boost::detail::sp_counted_impl_p<Dodge::Animation>::dispose()
  0.00      3.04     0.00     2410     0.00     0.00  Dodge::XmlAttribute::getInt() const
  0.00      3.04     0.00     2304     0.00     0.00  Zombie::checkForCollisions()
  0.00      3.04     0.00     2004     0.00     0.00  Dodge::EntityAnimations::getOnScreenSize() const
  0.00      3.04     0.00     1981     0.00     0.00  Soil::addToWorld()
  0.00      3.04     0.00     1981     0.00     0.00  Soil::clone() const
  0.00      3.04     0.00     1975     0.00     0.00  boost::detail::sp_counted_impl_p<Soil>::~sp_counted_impl_p()
  0.00      3.04     0.00     1973     0.00     0.00  covariant return thunk to Soil::clone() const
  0.00      3.04     0.00     1971     0.00     0.00  Soil::init()
  0.00      3.04     0.00     1965     0.00     0.00  Soil::Soil(Soil const&)
  0.00      3.04     0.00     1962     0.00     0.00  Soil::~Soil()
  0.00      3.04     0.00     1961     0.00     0.00  Soil::~Soil()
  0.00      3.04     0.00     1956     0.00     0.00  boost::detail::sp_counted_impl_p<Soil>::dispose()
  0.00      3.04     0.00     1952     0.00     0.00  Soil::blastHandler(Dodge::EEvent*)
  0.00      3.04     0.00     1949     0.00     0.00  CSprite::onEvent(Dodge::EEvent const*)
  0.00      3.04     0.00     1948     0.00     0.00  MemFunHandler<Functor<void, TypeList<Dodge::EEvent*, NullType> >, Soil*, void (Soil::*)(Dodge::EEvent*)>::operator()(Dodge::EEvent*) const
  0.00      3.04     0.00     1708     0.00     0.00  Dodge::EntityUi::update()
  0.00      3.04     0.00     1707     0.00     0.00  Dodge::EntityAnimations::getAnimState() const
  0.00      3.04     0.00     1706     0.00     0.00  MenuItem::draw() const
  0.00      3.04     0.00     1705     0.00     0.00  Dodge::UiButton::update()
  0.00      3.04     0.00     1703     0.00     0.00  MenuItem::update()
